"trial","trial_in_block","block","gate","target_image","chosen_image","chosen_img_index","correct","rt","date","id","gender","age","asl_fluency","age_learned_asl","gate_name","gate_num","gate_signer"
"32","32","1","r_doll_which_1_25_6","doll","doll","0",TRUE,"5573","2015-05-08-11-28",20,"Female","47","2","13","r_doll_which_1","6","r"
"33","33","1","r_love_bear_3_19_3","bear","bear","1",TRUE,"7352","2015-05-08-11-28",20,"Female","47","2","13","r_love_bear_3","3","r"
"34","34","1","r_doll_where_4_01_6","doll","doll","0",TRUE,"7266","2015-05-08-11-28",20,"Female","47","2","13","r_doll_where_3","6","r"
"35","35","1","r_car_which_1_27_2","car","book","1",FALSE,"6322","2015-05-08-11-28",20,"Female","47","2","13","r_car_which_1","2","r"
"36","36","1","p_book_where_2_02_3","book","car","0",FALSE,"5773","2015-05-08-11-28",20,"Female","47","2","13","p_book_where_2","3","p"
"37","37","1","p_bird_where_1_27_3","bird","bird","0",TRUE,"5799","2015-05-08-11-28",20,"Female","47","2","13","p_bird_where_1","3","p"
"38","38","1","r_bird_where_4_08_3","bird","bird","0",TRUE,"7643","2015-05-08-11-28",20,"Female","47","2","13","r_bird_where_4","3","r"
"39","1","2","r_love_doll_3_21_2","doll","doll","0",TRUE,"9135","2015-05-08-11-28",20,"Female","47","2","13","r_love_doll_3","2","r"
"40","2","2","r_car_which_2_00_5","car","car","1",TRUE,"4690","2015-05-08-11-28",20,"Female","47","2","13","r_car_which_1","5","r"
"41","3","2","r_cat_where_3_29_2","cat","cat","1",TRUE,"7818","2015-05-08-11-28",20,"Female","47","2","13","r_cat_where_3","2","r"
"42","4","2","r_doll_which_1_21_2","doll","doll","1",TRUE,"7726","2015-05-08-11-28",20,"Female","47","2","13","r_doll_which_1","2","r"
"43","5","2","r_love_ball_3_19_3","ball","shoe","1",FALSE,"8092","2015-05-08-11-28",20,"Female","47","2","13","r_love_ball_3","3","r"
"44","6","2","r_car_where_3_26_6","car","car","1",TRUE,"7664","2015-05-08-11-28",20,"Female","47","2","13","r_car_where_3","6","r"
"45","7","2","r_shoes_which_1_26_5","shoe","shoe","1",TRUE,"4416","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_which_1","5","r"
"46","8","2","p_doll_where_1_28_5","doll","doll","0",TRUE,"5463","2015-05-08-11-28",20,"Female","47","2","13","p_doll_where_1","5","p"
"47","9","2","p_bear_where_1_28_4","bear","bear","0",TRUE,"6439","2015-05-08-11-28",20,"Female","47","2","13","p_bear_where_1","4","p"
"48","10","2","p_kitty_where_2_03_1","cat","bird","0",FALSE,"6063","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_where_2","1","p"
"49","11","2","p_shoe_hey_3_00_6","shoe","shoe","1",TRUE,"6273","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_hey_2","6","p"
"50","12","2","p_ball_find_2_05_5","ball","ball","0",TRUE,"5364","2015-05-08-11-28",20,"Female","47","2","13","p_ball_find_2","5","p"
"51","13","2","r_book_which_2_00_4","book","book","0",TRUE,"6044","2015-05-08-11-28",20,"Female","47","2","13","r_book_which_1","4","r"
"52","14","2","r_ball_where_4_06_1","ball","ball","0",TRUE,"8763","2015-05-08-11-28",20,"Female","47","2","13","r_ball_where_4","1","r"
"53","15","2","p_book_where_2_01_2","book","car","0",FALSE,"12361","2015-05-08-11-28",20,"Female","47","2","13","p_book_where_2","2","p"
"54","16","2","p_kitty_hey_3_04_5","cat","cat","1",TRUE,"6956","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_hey_3","5","p"
"55","17","2","r_love_car_3_22_5","car","car","0",TRUE,"7984","2015-05-08-11-28",20,"Female","47","2","13","r_love_car_3","5","r"
"56","18","2","r_doll_where_3_26_1","doll","doll","0",TRUE,"10269","2015-05-08-11-28",20,"Female","47","2","13","r_doll_where_3","1","r"
"57","19","2","p_bird_where_1_28_4","bird","bird","0",TRUE,"5597","2015-05-08-11-28",20,"Female","47","2","13","p_bird_where_1","4","p"
"58","20","2","r_love_shoes_3_17_5","shoe","ball","1",FALSE,"10101","2015-05-08-11-28",20,"Female","47","2","13","r_love_shoes_3","5","r"
"59","21","2","r_shoes_where_3_29_4","shoe","shoe","0",TRUE,"8008","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_where_3","4","r"
"60","22","2","p_book_look_2_04_4","book","car","0",FALSE,"7541","2015-05-08-11-28",20,"Female","47","2","13","p_book_look_2","4","p"
"61","23","2","p_bear_look_2_01_5","bear","bear","1",TRUE,"8193","2015-05-08-11-28",20,"Female","47","2","13","p_bear_look_1","5","p"
"62","24","2","p_bird_look_1_25_2","bird","bird","0",TRUE,"6267","2015-05-08-11-28",20,"Female","47","2","13","p_bird_look_1","2","p"
"63","25","2","r_love_book_3_26_3","book","book","1",TRUE,"11113","2015-05-08-11-28",20,"Female","47","2","13","r_love_book_3","3","r"
"64","26","2","r_ball_which_2_04_5","ball","ball","1",TRUE,"6151","2015-05-08-11-28",20,"Female","47","2","13","r_ball_which_2","5","r"
"65","27","2","r_bear_which_1_28_6","bear","bear","0",TRUE,"5065","2015-05-08-11-28",20,"Female","47","2","13","r_bear_which_1","6","r"
"66","28","2","p_doll_find_2_01_4","doll","doll","0",TRUE,"6482","2015-05-08-11-28",20,"Female","47","2","13","p_doll_find_1","4","p"
"67","29","2","r_love_bear_3_20_4","bear","bear","1",TRUE,"7983","2015-05-08-11-28",20,"Female","47","2","13","r_love_bear_3","4","r"
"68","30","2","r_bear_where_4_03_1","bear","doll","1",FALSE,"10753","2015-05-08-11-28",20,"Female","47","2","13","r_bear_where_4","1","r"
"69","31","2","r_bird_where_4_11_6","bird","bird","0",TRUE,"9158","2015-05-08-11-28",20,"Female","47","2","13","r_bird_where_4","6","r"
"70","32","2","p_car_where_1_20_1","car","car","1",TRUE,"8118","2015-05-08-11-28",20,"Female","47","2","13","p_car_where_1","1","p"
"71","33","2","p_ball_where_1_23_3","ball","shoe","1",FALSE,"6797","2015-05-08-11-28",20,"Female","47","2","13","p_ball_where_1","3","p"
"72","34","2","r_book_where_4_03_1","book","book","1",TRUE,"9600","2015-05-08-11-28",20,"Female","47","2","13","r_book_where_4","1","r"
"73","35","2","r_love_cat_3_23_3","cat","cat","1",TRUE,"13523","2015-05-08-11-28",20,"Female","47","2","13","r_love_cat_3","3","r"
"74","36","2","r_love_bird_3_23_5","bird","bird","0",TRUE,"8466","2015-05-08-11-28",20,"Female","47","2","13","r_love_bird_3","5","r"
"75","37","2","r_cat_which_1_23_2","cat","cat","1",TRUE,"6153","2015-05-08-11-28",20,"Female","47","2","13","r_cat_which_1","2","r"
"76","38","2","p_shoe_where_1_21_4","shoe","shoe","0",TRUE,"6320","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_where_1","4","p"
"77","1","3","p_bear_look_1_27_1","bear","bear","1",TRUE,"6051","2015-05-08-11-28",20,"Female","47","2","13","p_bear_look_1","1","p"
"78","2","3","p_book_where_2_03_4","book","book","0",TRUE,"8694","2015-05-08-11-28",20,"Female","47","2","13","p_book_where_2","4","p"
"79","3","3","r_love_bird_3_24_6","bird","bird","0",TRUE,"8354","2015-05-08-11-28",20,"Female","47","2","13","r_love_bird_3","6","r"
"80","4","3","p_bird_where_1_29_5","bird","bird","1",TRUE,"5704","2015-05-08-11-28",20,"Female","47","2","13","p_bird_where_1","5","p"
"81","5","3","r_love_doll_3_23_4","doll","doll","1",TRUE,"8285","2015-05-08-11-28",20,"Female","47","2","13","r_love_doll_3","4","r"
"82","6","3","r_shoes_which_1_27_6","shoe","shoe","0",TRUE,"6186","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_which_1","6","r"
"83","7","3","r_cat_which_1_24_3","cat","cat","0",TRUE,"5390","2015-05-08-11-28",20,"Female","47","2","13","r_cat_which_1","3","r"
"84","8","3","r_ball_which_2_05_6","ball","ball","0",TRUE,"4965","2015-05-08-11-28",20,"Female","47","2","13","r_ball_which_2","6","r"
"85","9","3","r_shoes_where_3_27_2","shoe","ball","0",FALSE,"9183","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_where_3","2","r"
"86","10","3","r_love_ball_3_17_1","ball","shoe","1",FALSE,"9677","2015-05-08-11-28",20,"Female","47","2","13","r_love_ball_3","1","r"
"87","11","3","p_kitty_where_2_05_3","cat","cat","1",TRUE,"11068","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_where_2","3","p"
"88","12","3","r_love_bear_3_17_1","bear","doll","1",FALSE,"8733","2015-05-08-11-28",20,"Female","47","2","13","r_love_bear_3","1","r"
"89","13","3","p_ball_find_2_02_2","ball","shoe","0",FALSE,"6931","2015-05-08-11-28",20,"Female","47","2","13","p_ball_find_2","2","p"
"90","14","3","p_doll_where_1_24_1","doll","doll","1",TRUE,"6127","2015-05-08-11-28",20,"Female","47","2","13","p_doll_where_1","1","p"
"91","15","3","p_kitty_hey_3_03_4","cat","cat","0",TRUE,"7648","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_hey_3","4","p"
"92","16","3","r_car_which_1_26_1","car","car","1",TRUE,"9170","2015-05-08-11-28",20,"Female","47","2","13","r_car_which_1","1","r"
"93","17","3","p_bear_where_1_25_1","bear","bear","1",TRUE,"5976","2015-05-08-11-28",20,"Female","47","2","13","p_bear_where_1","1","p"
"94","18","3","p_book_look_2_03_3","book","book","0",TRUE,"6607","2015-05-08-11-28",20,"Female","47","2","13","p_book_look_2","3","p"
"95","19","3","r_bear_which_1_25_3","bear","bear","0",TRUE,"6561","2015-05-08-11-28",20,"Female","47","2","13","r_bear_which_1","3","r"
"96","20","3","r_doll_which_1_20_1","doll","doll","0",TRUE,"9265","2015-05-08-11-28",20,"Female","47","2","13","r_doll_which_1","1","r"
"97","21","3","r_book_where_4_08_6","book","book","1",TRUE,"9154","2015-05-08-11-28",20,"Female","47","2","13","r_book_where_4","6","r"
"98","22","3","r_love_car_3_20_3","car","book","1",FALSE,"8927","2015-05-08-11-28",20,"Female","47","2","13","r_love_car_3","3","r"
"99","23","3","p_bird_look_1_27_4","bird","bird","0",TRUE,"11831","2015-05-08-11-28",20,"Female","47","2","13","p_bird_look_1","4","p"
"100","24","3","r_love_shoes_3_15_3","shoe","shoe","1",TRUE,"9694","2015-05-08-11-28",20,"Female","47","2","13","r_love_shoes_3","3","r"
"101","25","3","r_car_where_3_24_4","car","car","1",TRUE,"8444","2015-05-08-11-28",20,"Female","47","2","13","r_car_where_3","4","r"
"102","26","3","r_cat_where_4_01_4","cat","cat","0",TRUE,"8594","2015-05-08-11-28",20,"Female","47","2","13","r_cat_where_3","4","r"
"103","27","3","r_book_which_1_27_1","book","car","1",FALSE,"6237","2015-05-08-11-28",20,"Female","47","2","13","r_book_which_1","1","r"
"104","28","3","p_shoe_hey_2_27_3","shoe","ball","1",FALSE,"7289","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_hey_2","3","p"
"105","29","3","p_doll_find_1_28_1","doll","doll","0",TRUE,"6731","2015-05-08-11-28",20,"Female","47","2","13","p_doll_find_1","1","p"
"106","30","3","p_ball_where_1_21_1","ball","shoe","0",FALSE,"5188","2015-05-08-11-28",20,"Female","47","2","13","p_ball_where_1","1","p"
"107","31","3","r_bird_where_4_10_5","bird","bird","0",TRUE,"9415","2015-05-08-11-28",20,"Female","47","2","13","r_bird_where_4","5","r"
"108","32","3","r_ball_where_4_09_4","ball","ball","0",TRUE,"9199","2015-05-08-11-28",20,"Female","47","2","13","r_ball_where_4","4","r"
"109","33","3","r_love_book_3_29_6","book","book","0",TRUE,"7397","2015-05-08-11-28",20,"Female","47","2","13","r_love_book_3","6","r"
"110","34","3","r_love_cat_3_22_2","cat","cat","1",TRUE,"7901","2015-05-08-11-28",20,"Female","47","2","13","r_love_cat_3","2","r"
"111","35","3","r_bear_where_4_04_2","bear","bear","0",TRUE,"11528","2015-05-08-11-28",20,"Female","47","2","13","r_bear_where_4","2","r"
"112","36","3","p_shoe_where_1_20_3","shoe","shoe","1",TRUE,"6236","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_where_1","3","p"
"113","37","3","r_doll_where_4_00_5","doll","doll","0",TRUE,"8482","2015-05-08-11-28",20,"Female","47","2","13","r_doll_where_3","5","r"
"114","38","3","p_car_where_1_23_4","car","car","0",TRUE,"5926","2015-05-08-11-28",20,"Female","47","2","13","p_car_where_1","4","p"
"115","1","4","r_bear_which_1_23_1","bear","doll","1",FALSE,"7466","2015-05-08-11-28",20,"Female","47","2","13","r_bear_which_1","1","r"
"116","2","4","r_love_bird_3_21_3","bird","cat","1",FALSE,"8632","2015-05-08-11-28",20,"Female","47","2","13","r_love_bird_3","3","r"
"117","3","4","p_kitty_where_2_07_5","cat","cat","0",TRUE,"6871","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_where_2","5","p"
"118","4","4","r_love_ball_3_22_6","ball","ball","0",TRUE,"8678","2015-05-08-11-28",20,"Female","47","2","13","r_love_ball_3","6","r"
"119","5","4","p_book_look_2_01_1","book","car","1",FALSE,"9374","2015-05-08-11-28",20,"Female","47","2","13","p_book_look_2","1","p"
"120","6","4","r_love_book_3_24_1","book","car","0",FALSE,"12432","2015-05-08-11-28",20,"Female","47","2","13","r_love_book_3","1","r"
"121","7","4","r_love_bear_3_21_5","bear","doll","1",FALSE,"11344","2015-05-08-11-28",20,"Female","47","2","13","r_love_bear_3","5","r"
"122","8","4","p_ball_where_1_25_5","ball","ball","0",TRUE,"6168","2015-05-08-11-28",20,"Female","47","2","13","p_ball_where_1","5","p"
"123","9","4","p_shoe_hey_2_29_5","shoe","shoe","1",TRUE,"6814","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_hey_2","5","p"
"124","10","4","r_doll_which_1_22_3","doll","doll","0",TRUE,"5398","2015-05-08-11-28",20,"Female","47","2","13","r_doll_which_1","3","r"
"125","11","4","p_shoe_where_1_19_2","shoe","shoe","1",TRUE,"5829","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_where_1","2","p"
"126","12","4","r_shoes_where_4_01_6","shoe","shoe","0",TRUE,"8891","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_where_3","6","r"
"127","13","4","p_bird_look_1_24_1","bird","bird","1",TRUE,"6160","2015-05-08-11-28",20,"Female","47","2","13","p_bird_look_1","1","p"
"128","14","4","r_love_cat_3_21_1","cat","cat","0",TRUE,"8050","2015-05-08-11-28",20,"Female","47","2","13","r_love_cat_3","1","r"
"129","15","4","r_doll_where_3_27_2","doll","doll","1",TRUE,"9741","2015-05-08-11-28",20,"Female","47","2","13","r_doll_where_3","2","r"
"130","16","4","r_bear_where_4_06_4","bear","bear","1",TRUE,"8713","2015-05-08-11-28",20,"Female","47","2","13","r_bear_where_4","4","r"
"131","17","4","p_ball_find_2_04_4","ball","ball","0",TRUE,"6565","2015-05-08-11-28",20,"Female","47","2","13","p_ball_find_2","4","p"
"132","18","4","r_ball_where_4_11_6","ball","ball","0",TRUE,"8688","2015-05-08-11-28",20,"Female","47","2","13","r_ball_where_4","6","r"
"133","19","4","p_bird_where_1_25_1","bird","bird","0",TRUE,"9220","2015-05-08-11-28",20,"Female","47","2","13","p_bird_where_1","1","p"
"134","20","4","p_kitty_hey_3_00_1","cat","bird","1",FALSE,"11073","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_hey_3","1","p"
"135","21","4","r_book_where_4_07_5","book","book","1",TRUE,"8555","2015-05-08-11-28",20,"Female","47","2","13","r_book_where_4","5","r"
"136","22","4","p_bear_look_2_02_6","bear","bear","1",TRUE,"7475","2015-05-08-11-28",20,"Female","47","2","13","p_bear_look_1","6","p"
"137","23","4","r_ball_which_2_02_3","ball","ball","0",TRUE,"6564","2015-05-08-11-28",20,"Female","47","2","13","r_ball_which_2","3","r"
"138","24","4","r_book_which_1_29_3","book","book","0",TRUE,"5006","2015-05-08-11-28",20,"Female","47","2","13","r_book_which_1","3","r"
"139","25","4","r_cat_where_4_02_5","cat","cat","0",TRUE,"8938","2015-05-08-11-28",20,"Female","47","2","13","r_cat_where_3","5","r"
"140","26","4","p_car_where_1_25_6","car","car","0",TRUE,"5943","2015-05-08-11-28",20,"Female","47","2","13","p_car_where_1","6","p"
"141","27","4","r_love_car_3_19_2","car","car","1",TRUE,"8522","2015-05-08-11-28",20,"Female","47","2","13","r_love_car_3","2","r"
"142","28","4","p_doll_where_1_29_6","doll","doll","0",TRUE,"6770","2015-05-08-11-28",20,"Female","47","2","13","p_doll_where_1","6","p"
"143","29","4","r_cat_which_1_22_1","cat","cat","0",TRUE,"5902","2015-05-08-11-28",20,"Female","47","2","13","r_cat_which_1","1","r"
"144","30","4","p_bear_where_1_29_5","bear","doll","1",FALSE,"6081","2015-05-08-11-28",20,"Female","47","2","13","p_bear_where_1","5","p"
"145","31","4","p_book_where_2_04_5","book","book","1",TRUE,"6593","2015-05-08-11-28",20,"Female","47","2","13","p_book_where_2","5","p"
"146","32","4","r_love_doll_3_24_5","doll","doll","1",TRUE,"7630","2015-05-08-11-28",20,"Female","47","2","13","r_love_doll_3","5","r"
"147","33","4","r_love_shoes_3_13_1","shoe","shoe","0",TRUE,"15480","2015-05-08-11-28",20,"Female","47","2","13","r_love_shoes_3","1","r"
"148","34","4","r_bird_where_4_09_4","bird","bird","1",TRUE,"9407","2015-05-08-11-28",20,"Female","47","2","13","r_bird_where_4","4","r"
"149","35","4","p_doll_find_2_02_5","doll","doll","0",TRUE,"6065","2015-05-08-11-28",20,"Female","47","2","13","p_doll_find_1","5","p"
"150","36","4","r_car_where_3_21_1","car","car","0",TRUE,"8396","2015-05-08-11-28",20,"Female","47","2","13","r_car_where_3","1","r"
"151","37","4","r_car_which_1_28_3","car","book","1",FALSE,"8585","2015-05-08-11-28",20,"Female","47","2","13","r_car_which_1","3","r"
"152","38","4","r_shoes_which_1_25_4","shoe","shoe","0",TRUE,"5378","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_which_1","4","r"
"153","1","5","r_ball_which_2_03_4","ball","ball","0",TRUE,"13592","2015-05-08-11-28",20,"Female","47","2","13","r_ball_which_2","4","r"
"154","2","5","p_ball_find_2_01_1","ball","shoe","1",FALSE,"5769","2015-05-08-11-28",20,"Female","47","2","13","p_ball_find_2","1","p"
"155","3","5","p_shoe_hey_2_28_4","shoe","shoe","0",TRUE,"7415","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_hey_2","4","p"
"156","4","5","r_shoes_which_1_22_1","shoe","shoe","0",TRUE,"5592","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_which_1","1","r"
"157","5","5","r_cat_which_1_26_5","cat","cat","1",TRUE,"5664","2015-05-08-11-28",20,"Female","47","2","13","r_cat_which_1","5","r"
"158","6","5","r_book_which_2_02_6","book","car","1",FALSE,"9284","2015-05-08-11-28",20,"Female","47","2","13","r_book_which_1","6","r"
"159","7","5","p_car_where_1_24_5","car","car","1",TRUE,"5624","2015-05-08-11-28",20,"Female","47","2","13","p_car_where_1","5","p"
"160","8","5","r_book_where_4_04_2","book","book","1",TRUE,"9029","2015-05-08-11-28",20,"Female","47","2","13","r_book_where_4","2","r"
"161","9","5","r_bear_where_4_07_5","bear","bear","1",TRUE,"8736","2015-05-08-11-28",20,"Female","47","2","13","r_bear_where_4","5","r"
"162","10","5","p_book_where_2_00_1","book","car","0",FALSE,"9746","2015-05-08-11-28",20,"Female","47","2","13","p_book_where_2","1","p"
"163","11","5","r_love_doll_3_22_3","doll","doll","1",TRUE,"8543","2015-05-08-11-28",20,"Female","47","2","13","r_love_doll_3","3","r"
"164","12","5","p_kitty_hey_3_05_6","cat","cat","1",TRUE,"7550","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_hey_3","6","p"
"165","13","5","r_love_ball_3_20_4","ball","shoe","1",FALSE,"10553","2015-05-08-11-28",20,"Female","47","2","13","r_love_ball_3","4","r"
"166","14","5","r_doll_which_1_23_4","doll","doll","1",TRUE,"5931","2015-05-08-11-28",20,"Female","47","2","13","r_doll_which_1","4","r"
"167","15","5","r_car_which_2_01_6","car","car","0",TRUE,"5694","2015-05-08-11-28",20,"Female","47","2","13","r_car_which_1","6","r"
"168","16","5","r_bird_where_4_07_2","bird","bird","1",TRUE,"8856","2015-05-08-11-28",20,"Female","47","2","13","r_bird_where_4","2","r"
"169","17","5","r_bear_which_1_27_5","bear","bear","0",TRUE,"6564","2015-05-08-11-28",20,"Female","47","2","13","r_bear_which_1","5","r"
"170","18","5","p_ball_where_1_22_2","ball","shoe","1",FALSE,"5132","2015-05-08-11-28",20,"Female","47","2","13","p_ball_where_1","2","p"
"171","19","5","p_bird_where_2_00_6","bird","bird","1",TRUE,"7379","2015-05-08-11-28",20,"Female","47","2","13","p_bird_where_1","6","p"
"172","20","5","r_shoes_where_3_28_3","shoe","ball","1",FALSE,"9106","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_where_3","3","r"
"173","21","5","p_book_look_2_02_2","book","car","0",FALSE,"7411","2015-05-08-11-28",20,"Female","47","2","13","p_book_look_2","2","p"
"174","22","5","r_love_shoes_3_18_6","shoe","ball","0",FALSE,"9907","2015-05-08-11-28",20,"Female","47","2","13","r_love_shoes_3","6","r"
"175","23","5","r_cat_where_4_03_6","cat","cat","1",TRUE,"9201","2015-05-08-11-28",20,"Female","47","2","13","r_cat_where_3","6","r"
"176","24","5","r_love_cat_3_25_5","cat","cat","1",TRUE,"8361","2015-05-08-11-28",20,"Female","47","2","13","r_love_cat_3","5","r"
"177","25","5","p_shoe_where_1_23_6","shoe","shoe","0",TRUE,"5920","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_where_1","6","p"
"178","26","5","p_bird_look_1_28_5","bird","bird","0",TRUE,"5850","2015-05-08-11-28",20,"Female","47","2","13","p_bird_look_1","5","p"
"179","27","5","r_ball_where_4_08_3","ball","ball","0",TRUE,"8017","2015-05-08-11-28",20,"Female","47","2","13","r_ball_where_4","3","r"
"180","28","5","p_bear_where_2_00_6","bear","bear","0",TRUE,"5715","2015-05-08-11-28",20,"Female","47","2","13","p_bear_where_1","6","p"
"181","29","5","r_love_bird_3_22_4","bird","cat","1",FALSE,"8722","2015-05-08-11-28",20,"Female","47","2","13","r_love_bird_3","4","r"
"182","30","5","r_car_where_3_25_5","car","car","1",TRUE,"8466","2015-05-08-11-28",20,"Female","47","2","13","r_car_where_3","5","r"
"183","31","5","r_love_car_3_18_1","car","car","0",TRUE,"9171","2015-05-08-11-28",20,"Female","47","2","13","r_love_car_3","1","r"
"184","32","5","p_doll_where_1_26_3","doll","doll","1",TRUE,"6003","2015-05-08-11-28",20,"Female","47","2","13","p_doll_where_1","3","p"
"185","33","5","p_doll_find_1_29_2","doll","doll","1",TRUE,"7412","2015-05-08-11-28",20,"Female","47","2","13","p_doll_find_1","2","p"
"186","34","5","r_love_bear_3_22_6","bear","bear","0",TRUE,"8055","2015-05-08-11-28",20,"Female","47","2","13","r_love_bear_3","6","r"
"187","35","5","p_bear_look_2_00_4","bear","bear","0",TRUE,"6363","2015-05-08-11-28",20,"Female","47","2","13","p_bear_look_1","4","p"
